"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"IGNORE_BOM";"MF";"MP";"MPN";"NO_BOM";"PACKAGE";"PROD_ID";"PURCHASE-URL";"SF_ID";"SF_SKU";"SKU";"TP_SIGNAL_NAME";
"1";"503182-1852_503182-1852";"503182-1852_503182-1852";"503182-1852_MOLEX_503182-1852";"J5";"Conn Micro SD Card M 8 POS 1.09mm Solder RA SMD Embossed T/R 0.5A/Contact";" MICRO SD NORMAL ULTRALOWPRO8CKTE ";"WM12834CT-ND";"https://www.digikey.ca/product-detail/en/molex/5031821852/WM12834CT-ND/5823232?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"Molex";"5031821852";"5031821852";"";"None";"";"";"";"";"";"";
"1";"AUDIO_JACK_3.5MM_KIT";"AUDIO_JACK_3.5MM_KIT";"AUDIO-JACK-KIT";"J1";"Audio Jack";"";"";"";"";"";"";"SJ1-3525NG-GR";"";"";"CONN-10353";"";"PRT-08032";"";"";"";
"1";"Batt Conn";"JST_2MM_MALE";"JST-2-SMD";"J3";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"S2B-PH-SM4-TB(LF)(SN)";"";"";"CONN-11443";"";"PRT-08612";"";"";"";
"4";"CONDUCTIVE_BUTTONCONDUCTIVE_BUTTON_DIRECTIONAL_THICK";"CONDUCTIVE_BUTTONCONDUCTIVE_BUTTON_DIRECTIONAL_THICK";"CONDUCTIVE_BUTTON_DIRECTIONAL_THICK";"DOWN, LEFT, RIGHT, UP";"";"";"";"";"TRUE";"";"";"";"";"";"";"";"";"";"";"";
"2";"CONDUCTIVE_BUTTONCONDUCTIVE_BUTTON_THICK";"CONDUCTIVE_BUTTONCONDUCTIVE_BUTTON_THICK";"CONDUCTIVE_BUTTON_THICK";"A, B";"";"";"";"";"TRUE";"";"";"";"";"";"";"";"";"";"";"";
"2";"CONDUCTIVE_BUTTON_STARTSELECTCONDUCTIVE_BUTTON_THICK_STARTSELECT";"CONDUCTIVE_BUTTON_STARTSELECTCONDUCTIVE_BUTTON_THICK_STARTSELECT";"CONDUCTIVE_BUTTON_THICK_STARTSELECT";"SELECT, START";"";"";"";"";"TRUE";"";"";"";"";"";"";"";"";"";"";"";
"1";"DMG3415U-7";"MOSFET-P";"SOT23-R";"Q3";"P-Channel Mosfet";"";"";"";"";"";"";"DMG3415U-7";"";"";"";"";"";"";"";"";
"1";"ESP32-WROVER_ESP32-WROVER";"ESP32-WROVER_ESP32-WROVER";"ESP32-WROVER_ESP32-WROVER";"U1";"";"";"";"";"";"";"";"ESP32-WROVER (16MB)";"";"";"";"";"";"";"";"";
"1";"GND";"TESTPADTP18R";"TESTPAD";"GND";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"KD026LQTMA008";"KD026LQTMA008";"KD026LQTMA008";"U$11";"";"";"";"";"";"";"";"FH34SRJ-45S-0.5SH(50)";"";"";"";"";"";"";"";"";
"1";"LED_L-115WEGW-CA";"LED_L-115WEGW-CA";"LED_DUOLED-A-3MM";"LED2";"T-1(3mm) BI-COLOR INDICATOR LAMP";"";"";"";"";"";"";"SSL-LX3059IGW";"";"";"";"";"";"";"";"";
"1";"LM4875";"LM4875";"SOIC8";"U6";"";"";"";"";"";"";"";"LM4875MX/NOPB";"";"";"";"";"";"";"";"";
"1";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"D4";"";"";"";"";"";"";"";"MBR120LSFT1G";"";"";"";"";"";"";"";"";
"1";"MCP73832T-2ACI/OT";"MCP73831/2";"SOT23-5-1";"U4";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";"MCP73832T-2ACI/OT";"";"";"";"";"";"";"";"";
"1";"MGB-001MGB-001-ESP32-LITE";"MGB-001MGB-001-ESP32-LITE";"MGB-001-ESP32-LITE";"U$17";"MGB-001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RETIRED_SWITCH_SPDT";"RETIRED_SWITCH_SPDT";"RETIRED_KPS-1290";"S3";"SWCH-10651";"";"";"";"";"";"";"MA12RTR";"";"";"SWITCH SLIDE SPDT 300MA 4V";"";"";"";"";"";
"1";"SPKR";"CONN_02";"1X02";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"CONN-13512";"";"PRT-09918";"PRT-08432";"PRT-09914";"";
"2";"SWITCHES_MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"SWITCHES_MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"SWITCHES_TACTILE_SWITCH_SMD_4.6X2.8MM";"S1, S2";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"KMR221GLFS";"";"";"COMP-12265";"";"";"COM-12993";"";"";
"9";"TESTPADTP18R";"TESTPADTP18R";"TESTPAD";"3V3, BACKLIGHT, GPIO0, RESET, SOURCE, SUPPLY, VBAT, VBUS, VOLUME";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USB4110-GF-A";"USB4110-GF-A";"GCT_USB4110-GF-A";"J6";"CONN USB 2.0 TYPE-C R/A SMT";" USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle";" Through Hole ";"";"";"";"GCT";"USB4110-GF-A";"USB4105-GF-A";"";"None";"";"https://pricing.snapeda.com/search/part/USB4110-GF-A/?ref=eda";"";"";"";
"1";"XC6210B332MR-G";"AP2112-3.3";"SOT23-5";"U3";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"XC6210B332MR-G";"";"";"";"";"";"";"";"";
"2";"mmbt2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Q4, Q5";"Transistor NPN";"";"";"";"";"";"";"MMBT2222A-7-F";"";"";"";"";"";"";"";"";
